0 0.02 0.147 0.005 0.783 	 0.2 0.129 0.018 0.794 	 0.203 0.1 0.019 0.891 	
200 0.577 0.865 0.498 0.002 	 0.014 0.886 0.006 0.008 	 0.0 0.119 0.0 0.0 	
400 0.63 0.892 0.565 0.005 	 0.026 0.889 0.015 0.024 	 0.0 0.121 0.0 0.0 	
600 0.697 0.922 0.651 0.005 	 0.035 0.884 0.025 0.03 	 0.0 0.127 0.0 0.0 	
800 0.757 0.935 0.707 0.007 	 0.061 0.906 0.048 0.055 	 0.0 0.118 0.0 0.002 	
1000 0.792 0.951 0.752 0.003 	 0.056 0.911 0.042 0.051 	 0.006 0.118 0.0 0.019 	
1200 0.812 0.959 0.779 0.004 	 0.079 0.912 0.066 0.075 	 0.009 0.12 0.0 0.033 	
1400 0.835 0.958 0.798 0.003 	 0.079 0.907 0.063 0.072 	 0.016 0.118 0.001 0.077 	
1600 0.876 0.97 0.85 0.003 	 0.124 0.913 0.108 0.121 	 0.015 0.111 0.0 0.089 	
1800 0.882 0.971 0.856 0.007 	 0.144 0.906 0.12 0.151 	 0.024 0.121 0.005 0.114 	
2000 0.929 0.979 0.909 0.005 	 0.13 0.919 0.118 0.14 	 0.051 0.12 0.008 0.202 	
2200 0.919 0.974 0.895 0.006 	 0.147 0.91 0.13 0.15 	 0.057 0.114 0.006 0.202 	
2400 0.93 0.983 0.913 0.002 	 0.155 0.919 0.143 0.172 	 0.037 0.122 0.002 0.16 	
2600 0.94 0.983 0.925 0.005 	 0.208 0.906 0.187 0.214 	 0.072 0.121 0.011 0.332 	
2800 0.942 0.986 0.928 0.001 	 0.225 0.91 0.201 0.236 	 0.043 0.119 0.009 0.211 	
3000 0.952 0.986 0.938 0.001 	 0.167 0.917 0.152 0.184 	 0.037 0.123 0.008 0.182 	
3200 0.958 0.988 0.946 0.004 	 0.205 0.905 0.181 0.235 	 0.052 0.118 0.008 0.254 	
3400 0.957 0.99 0.947 0.006 	 0.227 0.911 0.201 0.254 	 0.048 0.106 0.008 0.285 	
3600 0.95 0.99 0.941 0.002 	 0.216 0.909 0.187 0.234 	 0.025 0.11 0.003 0.172 	
3800 0.958 0.988 0.946 0.005 	 0.247 0.909 0.215 0.268 	 0.036 0.119 0.004 0.216 	
4000 0.963 0.992 0.955 0.006 	 0.266 0.914 0.238 0.301 	 0.05 0.12 0.007 0.295 	
4200 0.958 0.989 0.947 0.006 	 0.273 0.911 0.24 0.299 	 0.05 0.12 0.009 0.282 	
4400 0.97 0.988 0.958 0.003 	 0.272 0.914 0.237 0.293 	 0.064 0.11 0.007 0.337 	
4600 0.97 0.993 0.963 0.004 	 0.268 0.92 0.234 0.296 	 0.053 0.116 0.005 0.289 	
4800 0.973 0.994 0.967 0.002 	 0.293 0.914 0.265 0.314 	 0.057 0.108 0.007 0.294 	
5000 0.974 0.996 0.97 0.002 	 0.316 0.905 0.281 0.354 	 0.087 0.105 0.008 0.481 	
final 0.9736 0.9924 0.9661 0.0025 	 0.3231 0.8926 0.2817 0.3465 	 0.1 0.1162 0.0103 0.4773 	
