0 0.095 0.063 0.001 0.097 	 0.142 0.081 0.016 0.142 	 0.0 0.105 0.0 0.0 	
200 0.45 0.843 0.382 0.0 	 0.009 0.855 0.006 0.007 	 0.0 0.129 0.0 0.0 	
400 0.513 0.878 0.452 0.001 	 0.021 0.869 0.015 0.015 	 0.001 0.112 0.0 0.001 	
600 0.551 0.9 0.49 0.004 	 0.022 0.885 0.017 0.02 	 0.024 0.112 0.004 0.024 	
800 0.618 0.931 0.57 0.003 	 0.031 0.885 0.025 0.029 	 0.11 0.113 0.009 0.104 	
1000 0.633 0.941 0.59 0.003 	 0.069 0.905 0.057 0.065 	 0.091 0.109 0.009 0.086 	
1200 0.684 0.948 0.651 0.0 	 0.046 0.913 0.04 0.043 	 0.101 0.109 0.008 0.096 	
1400 0.7 0.951 0.665 0.0 	 0.116 0.902 0.103 0.11 	 0.086 0.109 0.006 0.085 	
1600 0.707 0.969 0.683 0.0 	 0.108 0.902 0.095 0.103 	 0.144 0.102 0.016 0.127 	
1800 0.761 0.968 0.736 0.0 	 0.127 0.887 0.102 0.119 	 0.074 0.111 0.008 0.072 	
2000 0.79 0.968 0.764 0.0 	 0.172 0.895 0.149 0.164 	 0.099 0.106 0.012 0.097 	
2200 0.827 0.975 0.807 0.0 	 0.17 0.899 0.142 0.161 	 0.107 0.114 0.022 0.105 	
2400 0.848 0.98 0.829 0.001 	 0.219 0.898 0.185 0.207 	 0.144 0.108 0.016 0.136 	
2600 0.862 0.988 0.851 0.001 	 0.266 0.897 0.238 0.257 	 0.222 0.105 0.035 0.216 	
2800 0.891 0.987 0.879 0.0 	 0.168 0.895 0.139 0.159 	 0.108 0.119 0.013 0.101 	
3000 0.901 0.984 0.886 0.0 	 0.252 0.904 0.217 0.244 	 0.153 0.117 0.023 0.152 	
3200 0.911 0.984 0.895 0.0 	 0.202 0.903 0.172 0.191 	 0.076 0.115 0.011 0.075 	
3400 0.923 0.99 0.914 0.001 	 0.267 0.91 0.234 0.257 	 0.174 0.11 0.032 0.171 	
3600 0.923 0.99 0.913 0.0 	 0.286 0.901 0.249 0.276 	 0.176 0.113 0.029 0.167 	
3800 0.926 0.99 0.916 0.001 	 0.234 0.894 0.199 0.224 	 0.161 0.112 0.023 0.15 	
4000 0.944 0.989 0.933 0.001 	 0.314 0.89 0.269 0.302 	 0.314 0.111 0.038 0.305 	
4200 0.944 0.994 0.939 0.001 	 0.334 0.899 0.292 0.324 	 0.237 0.118 0.03 0.231 	
4400 0.948 0.994 0.942 0.002 	 0.362 0.901 0.323 0.354 	 0.381 0.117 0.046 0.371 	
4600 0.965 0.993 0.958 0.0 	 0.392 0.893 0.336 0.374 	 0.328 0.093 0.034 0.297 	
4800 0.948 0.992 0.94 0.001 	 0.321 0.897 0.28 0.311 	 0.292 0.104 0.033 0.278 	
5000 0.963 0.992 0.955 0.0 	 0.345 0.903 0.304 0.334 	 0.3 0.114 0.04 0.285 	
final 0.956 0.9907 0.9471 0.0007 	 0.3249 0.8976 0.2876 0.3151 	 0.3022 0.1078 0.0335 0.2887 	
